,precision,recall,f1-score,support
Apple,1.0,1.0,1.0,635
Blueberry,1.0,1.0,1.0,300
Cherry_(including_sour),1.0,0.9973684210526316,0.9986824769433464,380
Corn_(maize),0.9987046632124352,0.9987046632124352,0.9987046632124352,772
Grape,1.0,1.0,1.0,811
Orange,1.0,1.0,1.0,1102
Peach,1.0,1.0,1.0,531
"Pepper,_bell",1.0,1.0,1.0,495
Potato,1.0,1.0,1.0,431
Raspberry,1.0,1.0,1.0,74
Soybean,0.9990176817288802,0.9990176817288802,0.9990176817288802,1018
Squash,1.0,1.0,1.0,367
Strawberry,1.0,1.0,1.0,314
Tomato,0.9997246696035242,1.0,0.999862315847446,3631
