,precision,recall,f1-score,support
Apple,0.9952978056426333,1.0,0.9976433621366849,635
Blueberry,1.0,0.9966666666666667,0.9983305509181971,300
Cherry_(including_sour),1.0,0.9921052631578947,0.9960369881109644,380
Corn_(maize),0.9974126778783958,0.9987046632124352,0.9980582524271844,772
Grape,1.0,1.0,1.0,811
Orange,1.0,1.0,1.0,1102
Peach,0.9981203007518797,1.0,0.9990592662276576,531
"Pepper,_bell",0.9979838709677419,1.0,0.9989909182643794,495
Potato,0.9862068965517241,0.9953596287703016,0.9907621247113163,431
Raspberry,1.0,1.0,1.0,74
Soybean,0.9990167158308751,0.9980353634577603,0.9985257985257985,1018
Squash,1.0,0.997275204359673,0.9986357435197818,367
Strawberry,1.0,0.9968152866242038,0.9984051036682616,314
Tomato,0.9988974641675854,0.9980721564307353,0.9984846397575423,3631
