,precision,recall,f1-score,support
Apple,1.0,0.9984251968503937,0.9992119779353822,635
Blueberry,1.0,1.0,1.0,300
Cherry_(including_sour),1.0,0.9973684210526316,0.9986824769433464,380
Corn_(maize),0.9987063389391979,1.0,0.9993527508090615,772
Grape,1.0,1.0,1.0,811
Orange,1.0,1.0,1.0,1102
Peach,0.9962476547842402,1.0,0.9981203007518797,531
"Pepper,_bell",0.9959758551307847,1.0,0.9979838709677419,495
Potato,0.9976798143851509,0.9976798143851509,0.9976798143851509,431
Raspberry,1.0,1.0,1.0,74
Soybean,1.0,0.9990176817288802,0.9995085995085995,1018
Squash,1.0,0.997275204359673,0.9986357435197818,367
Strawberry,0.9968253968253968,1.0,0.9984101748807631,314
Tomato,0.9994488839900799,0.9988983751032773,0.9991735537190082,3631
