,precision,recall,f1-score,support
Apple,1.0,1.0,1.0,635
Blueberry,0.9966666666666667,0.9966666666666667,0.9966666666666667,300
Cherry_(including_sour),1.0,0.9973684210526316,0.9986824769433464,380
Corn_(maize),1.0,1.0,1.0,772
Grape,0.998766954377312,0.998766954377312,0.998766954377312,811
Orange,1.0,1.0,1.0,1102
Peach,1.0,1.0,1.0,531
"Pepper,_bell",1.0,0.997979797979798,0.9989888776541962,495
Potato,0.9976744186046511,0.9953596287703016,0.9965156794425087,431
Raspberry,1.0,1.0,1.0,74
Soybean,0.9990176817288802,0.9990176817288802,0.9990176817288802,1018
Squash,0.9972826086956522,1.0,0.998639455782313,367
Strawberry,0.9968253968253968,1.0,0.9984101748807631,314
Tomato,0.9991740088105727,0.9994491875516387,0.9993115792372298,3631
