,precision,recall,f1-score,support
Apple,0.9984051036682615,0.9858267716535433,0.9920760697305864,635
Blueberry,1.0,1.0,1.0,300
Cherry_(including_sour),1.0,0.9947368421052631,0.9973614775725593,380
Corn_(maize),0.9987063389391979,1.0,0.9993527508090615,772
Grape,1.0,1.0,1.0,811
Orange,1.0,1.0,1.0,1102
Peach,0.9981167608286252,0.9981167608286252,0.9981167608286252,531
"Pepper,_bell",1.0,0.9797979797979798,0.989795918367347,495
Potato,1.0,0.9767981438515081,0.988262910798122,431
Raspberry,1.0,1.0,1.0,74
Soybean,0.987378640776699,0.9990176817288802,0.9931640625,1018
Squash,0.9892183288409704,1.0,0.994579945799458,367
Strawberry,0.9843260188087775,1.0,0.9921011058451817,314
Tomato,0.9961527892278098,0.998347562654916,0.9972489683631361,3631
